index;course_title;views;last_viewed
0;Ultimate Investment Banking Course;0;
1;Complete GST Course & Certification - Grow Your CA Practice;0;
2;Financial Modeling for Business Analysts and Consultants;0;
3;Beginner to Pro - Financial Analysis in Excel 2017;0;
4;How To Maximize Your Profits Trading Options;0;
5;Trading Penny Stocks: A Guide for All Levels In 2017;0;
6;Investing And Trading For Beginners: Mastering Price Charts;0;
7;Trading Stock Chart Patterns For Immediate, Explosive Gains;0;
8;Options Trading 3 : Advanced Stock Profit and Success Method;0;
9;The Only Investment Strategy You Need For Your Retirement;0;
10;Forex Trading Secrets of the Pros With Amazon's AWS;0;
11;Trading Options With Money Flow;0;
12;Financial Management Risk and Return For Securities;0;
13;Forex Trading Course: Work Smarter Not Harder Proven Results;0;
14;Python Algo Trading: Sentiment Trading with News;0;
15;Short Selling: Learn To Sell Stocks Before The Fall;0;
16;Basic Technical Analysis: Learn the structure of the market;0;
17;The Complete Chart Pattern Trading Course: A Proven Approach;0;
18;7 Deadly Mistakes of Investing that Will Slash Your Profits!;0;
19;Financial Statements Made Easy;0;
20;Winning Forex Trading with Live Forex Trading Examples;0;
21;Forex Traders - Create Your First Trading Robot. No Coding!;0;
22;Create A Business From Home Trading Stocks Today In 2017;0;
23;Introduction to Accounting : Mastering Financial Statements;0;
24;The Complete Ethereum Course: Get .01 Ether In Your Wallet;0;
25;Beginner to Pro in PowerPoint: Complete PowerPoint Training;0;
26;Investing 101: The Complete Online Investing Course;0;
27;Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager;0;
28;Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5);0;
29;Forex Trading: Your Complete Guide to Get Started Like a Pro;0;
30;Python Algo Stock Trading: Automate Your Trading!;0;
31;THE Forex Robot: Incredible ROI (Robot Included);0;
32;The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet;0;
33;Mastering High Probability Iron Condor Options Trading;0;
34;The Complete Short Course on Ethereum;0;
